r	mu	stdev	T	lambda	t1	c1	t2	c2	t3	c3	b3	b2	b1	V_M	n_S	b_S	V_S	DP_Time	mean_M	var_M	semivar_MD	semivar_MU	mean_S	var_S	semivar_SD	semivar_SU	TotalTime
2	1	0.1	0.7	0.04	0	1	0.35	1.04	0.7	1.08	-0.005435943604	-0.0786781311	-0.1021385193	2.587501022	1	0	2.514295356	2.78056079	2.588107555	0.0769950092	0.04271613232	0.03427887688	2.51211831	0.08690639357	0.06353350114	0.02337289245	8.139646746
2	1	0.1	0.7	0.06	0	1	0.35	1.06	0.7	1.12	-0.008296966553	-0.06952285767	-0.08554458618	2.579157069	1	0	2.514295356	2.307031103	2.57935526	0.07698459881	0.04431175541	0.0326728434	2.511843519	0.08713152832	0.06370266352	0.02342886483	7.670941615
2	1	0.1	0.7	0.08	0	1	0.35	1.08	0.7	1.16	-0.01096725464	-0.06322860718	-0.07333755493	2.571993398	1	0	2.514295356	2.316192501	2.572231148	0.07707603987	0.04582270417	0.0312533357	2.512165518	0.08696108313	0.06359041222	0.02337067093	7.804081479
2	1	0.1	0.7	0.1	0	1	0.35	1.1	0.7	1.2	-0.01382827759	-0.05865097046	-0.06399154663	2.565718165	1	0	2.514295356	2.330316448	2.565775516	0.07726022029	0.04730837473	0.02995184556	2.51196981	0.087028627	0.06361949779	0.02340912923	7.692808111
2	1	0.1	0.7	0.12	0	1	0.35	1.12	0.7	1.24	-0.01668930054	-0.05521774292	-0.05617141724	2.560153152	1	0	2.514295356	2.337610562	2.560171333	0.07759991367	0.048818152	0.02878176168	2.512089223	0.08706596646	0.06367533833	0.02339062816	7.692120623
2	1	0.1	0.7	0.14	0	1	0.35	1.14	0.7	1.28	-0.01955032349	-0.05254745483	-0.04968643188	2.555175886	1	0	2.514295356	2.342211796	2.555069234	0.07776359277	0.05003623862	0.02772735413	2.512147952	0.08694247572	0.06357527575	0.0233672	7.915282031
2	1	0.1	0.7	0.16	0	1	0.35	1.16	0.7	1.32	-0.0226020813	-0.0506401062	-0.04415512085	2.550697097	1	0	2.514295356	2.361992453	2.550537035	0.0780400841	0.05119722699	0.0268428571	2.512146937	0.08694132002	0.06357099067	0.02337032938	7.687141099
2	1	0.1	0.7	0.18	0	1	0.35	1.18	0.7	1.36	-0.02565383911	-0.04892349243	-0.0391960144	2.546649175	1	0	2.514295356	2.36716728	2.546149254	0.07855337214	0.0524101523	0.02614321983	2.511876984	0.08706997263	0.06364723415	0.0234227385	7.690215855
2	1	0.1	0.7	0.2	0	1	0.35	1.2	0.7	1.4	-0.02870559692	-0.04777908325	-0.03499984741	2.542978817	1	0	2.514295356	2.374316785	2.54258381	0.07881031438	0.05333387561	0.02547643878	2.512169746	0.08696326744	0.06359362383	0.02336964364	7.926050046
2	1	0.1	0.8	0.02	0	1	0.4	1.02	0.8	1.04	-0.002193450928	-0.1061439514	-0.1446723938	2.618000728	3	-0.002242936439	2.525413765	2.266845046	2.618684701	0.07615152422	0.0388828488	0.03726867542	2.525410068	0.07082289557	0.03473517727	0.03608771829	7.61837468
2	1	0.1	0.8	0.04	0	1	0.4	1.04	0.8	1.08	-0.004482269287	-0.08897781372	-0.1158714294	2.606605673	1	0	2.514295356	2.288959351	2.607565939	0.07571721059	0.04027195726	0.03544525332	2.512402079	0.08691316615	0.06357913003	0.02333403614	7.624734958
2	1	0.1	0.8	0.06	0	1	0.4	1.06	0.8	1.12	-0.006771087646	-0.07886886597	-0.09794235229	2.597047927	1	0	2.514295356	2.293425404	2.597548274	0.07556487583	0.04175129256	0.03381358327	2.512190034	0.08694602788	0.06358350649	0.02336252141	7.863847138
2	1	0.1	0.8	0.08	0	1	0.4	1.08	0.8	1.16	-0.009059906006	-0.07181167603	-0.08497238159	2.588737643	1	0	2.514295356	2.327937337	2.589139384	0.07567917537	0.0432899329	0.03238924245	2.512182599	0.08702927886	0.06366034097	0.02336893792	7.68943595
2	1	0.1	0.8	0.1	0	1	0.4	1.1	0.8	1.2	-0.01134872437	-0.06666183472	-0.07448196411	2.581372854	1	0	2.514295356	2.333543263	2.581479797	0.07579668531	0.04476237845	0.03103430685	2.512041676	0.08701164653	0.0636226068	0.02338903975	7.667003805
2	1	0.1	0.8	0.12	0	1	0.4	1.12	0.8	1.24	-0.01363754272	-0.06265640259	-0.06608963013	2.574766911	1	0	2.514295356	2.707510914	2.574748403	0.07600600317	0.04620673195	0.02979927123	2.512075986	0.08704010115	0.06365893341	0.02338116777	8.049772448
2	1	0.1	0.8	0.14	0	1	0.4	1.14	0.8	1.28	-0.01611709595	-0.05941390991	-0.05884170532	2.568792432	1	0	2.514295356	2.351896833	2.568846638	0.07628398183	0.04762081393	0.02866316789	2.512145437	0.08700829964	0.06363550482	0.02337279484	7.686168626
2	1	0.1	0.8	0.16	0	1	0.4	1.16	0.8	1.32	-0.01840591431	-0.05674362183	-0.05254745483	2.563355079	1	0	2.514295356	2.356714305	2.563196729	0.0767267493	0.04903684795	0.02768990133	2.512055412	0.08707024355	0.06367749904	0.02339274453	7.680355112
2	1	0.1	0.8	0.18	0	1	0.4	1.18	0.8	1.36	-0.02088546753	-0.05464553833	-0.04720687866	2.558385119	1	0	2.514295356	2.680681686	2.55813562	0.07693003345	0.05016222757	0.02676780584	2.512108286	0.08698441288	0.06360734596	0.02337706694	8.004380872
